City,Cloudiness,Humidity,Lat,Lon,Temperature,Wind
That Phanom,20,72,16.94,104.73,74.48,9.04
Dauphin,1,64,51.15,-100.04,35.6,3.36
Mataura,0,67,-46.19,168.86,70.7,5.46
Ponta Delgada,20,87,37.73,-25.67,56.91,6.93
Fortuna,0,42,38.18,-1.13,58.68,5.82
Nanortalik,92,96,60.14,-45.24,30.25,19.55
Hobart,75,77,-42.88,147.33,64.13,4.7
Barrow,8,71,-38.31,-60.23,68.18,7.14
Maniitsoq,76,90,65.42,-52.9,14.41,10.71
Cape Town,40,93,-33.93,18.42,66.52,18.34
Hilo,20,50,19.71,-155.08,72.14,18.34
Havoysund,75,67,71.0,24.66,21.2,14.99
Mahenge,0,67,-8.68,36.72,77.72,6.46
Ushuaia,90,93,-54.81,-68.31,46.4,13.87
Yar-Sale,56,82,66.83,70.83,8.11,12.06
Polunochnoye,56,81,60.87,60.43,17.87,4.79
Kieta,36,100,-6.22,155.63,82.4,4.12
Vostok,8,57,46.45,135.83,34.07,5.68
Qaanaaq,0,94,77.48,-69.36,-29.97,9.04
Yulara,0,19,-25.24,130.99,80.6,9.17
Coihaique,0,61,-45.58,-72.07,48.2,19.46
Yerbogachen,0,80,61.28,108.01,9.68,2.66
Georgetown,20,83,6.8,-58.16,78.8,4.7
Vagur,12,100,61.47,-6.81,41.86,4.23
Lorengau,80,99,-2.02,147.27,82.63,8.7
New Norfolk,75,72,-42.78,147.06,64.4,5.82
Klaksvik,12,74,62.23,-6.59,30.2,2.24
Atuona,56,100,-9.8,-139.03,82.99,14.41
Henties Bay,0,94,-22.12,14.28,61.0,5.01
Thompson,20,51,55.74,-97.86,35.6,10.29
Nikolskoye,90,91,59.7,30.79,36.16,11.18
Albany,75,39,42.65,-73.75,27.46,14.99
Geraldton,75,35,49.72,-86.95,23.0,4.7
Martapura,20,94,-3.41,114.85,75.2,5.82
Ternate,20,65,14.29,120.72,81.9,6.93
Nhulunbuy,40,79,-12.18,136.78,84.2,5.82
Severo-Kurilsk,64,100,50.68,156.12,28.81,6.02
Valparaiso,1,51,41.47,-87.06,37.72,11.41
Khandagayty,20,67,50.73,92.07,6.13,5.68
Dikson,88,94,73.51,80.55,26.96,17.31
Dubbo,32,88,-32.25,148.6,68.0,8.05
San Jose,80,93,15.79,120.99,71.83,2.66
Burley,1,24,42.54,-113.79,55.4,6.93
Puerto Asis,0,94,0.51,-76.5,77.0,4.7
Marsa Matruh,0,80,31.35,27.25,40.6,2.66
Bluff,8,90,-23.58,149.07,78.94,4.79
Lebu,20,55,8.96,38.73,60.8,4.7
Deputatskiy,20,69,69.3,139.9,-17.05,4.0
Vaini,0,78,15.34,74.49,64.13,2.33
